"","L1","L10","L11","L13","L14","L15","L16","L17","L18","L2","L23","L24","L25","L26","L27","L28","L29","L3","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L4","L40","L5","L6"
"Amphibalanus Amphitrite",1557,4025,1810,1168,1350,1314,1335,2604,1843,1292,1702,1675,1520,1580,1277,1208,591,2200,1386,850,1109,1342,849,1102,695,1143,2469,1030,1180,1665,1536,1603
"Lepisosteus oculatus",27,29,18,13,29,28,26,15,13,18,16,14,35,37,17,34,21,33,30,92,19,21,24,35,44,40,26,27,19,74,21,16
"Gambusia affinis",9,9,13,5,18,6,25,4,7,24,4,7,2,0,0,10,0,28,7,9,6,0,4,1,1,4,4,9,3,16,6,5
"Channa striata",28,40,10,48,26,43,23,24,12,60,5,13,4,30,13,16,15,30,16,24,9,9,3,9,53,24,59,27,13,43,24,18
"Morone saxatilis",6,3,10,1,0,14,5,4,5,2,3,40,6,3,1,3,3,3,5,15,5,1,11,14,6,16,28,9,8,31,1,2
"Ictiobus cyprinellus",41,50,27,15,24,39,24,14,37,49,25,22,22,26,9,25,15,33,28,62,13,16,20,22,23,37,45,42,30,70,19,51
"Micropterus salmoides",49,100,29,58,54,66,62,62,64,23,10,27,25,32,18,17,6,63,8,37,18,9,8,7,6,9,65,21,29,54,32,31
"Cirrhinus mrigala",82,154,63,39,49,127,104,68,74,66,72,73,95,44,31,55,35,76,80,174,49,42,66,75,150,137,58,95,58,107,56,74
"Tinca tinca",700,1105,491,1072,744,906,634,420,293,356,333,227,327,404,610,478,128,708,295,377,158,207,127,109,251,186,2892,390,316,477,677,600
"Crassostrea gigas",129,245,69,66,80,153,226,104,70,97,117,122,84,61,14,39,25,96,46,63,29,14,23,42,35,39,41,55,90,69,72,79
"Clarias gariepinus",45,52,19,42,50,25,28,13,29,30,15,27,25,21,22,25,14,38,33,39,19,3,7,5,10,13,47,34,15,28,31,22
"Coptodon zillii",376,684,253,752,376,390,403,393,237,1470,276,426,252,272,310,414,183,1372,368,373,284,255,441,414,406,256,1209,321,405,539,301,213
"Sciaenops ocellatus",100,187,113,71,46,45,66,77,43,114,34,79,65,48,40,49,15,183,61,157,45,37,63,75,125,99,135,102,69,144,73,99
"Pterygoplichthys disjunctivus",3,13,7,12,7,5,7,13,11,40,2,8,2,6,8,0,6,31,8,7,10,8,1,4,6,7,12,1,5,13,11,0
"Labeo rohita",70,136,49,47,27,40,62,70,64,47,54,43,26,29,18,28,15,61,33,46,16,36,28,42,25,34,149,53,43,79,40,29
"Limnoperna fortunei",1,115,81,2,0,158,258,35,9,10,523,596,747,112,11,137,172,2,294,730,37,42,10,13,39,17,3,455,15,5,5,91
"Oreochromis niloticus",131,296,298,2871,906,245,193,549,104,1302,66,293,104,154,85,351,179,1562,395,321,128,212,1495,104,290,159,350,172,265,304,545,154
"Pterygoplichthys pardalis",3,28,6,3,3,2,0,3,0,56,3,12,4,2,3,5,9,48,4,20,2,4,2,8,2,10,2,5,6,5,4,8
"Oncorhynchus kisutch",125,228,66,53,56,103,50,101,92,91,109,102,108,53,46,52,30,85,104,101,80,44,57,130,148,157,308,105,97,313,75,77
"Oreochromis aureus",6,16,14,111,27,4,4,13,5,83,7,3,16,15,7,13,9,19,19,13,7,9,4,13,6,10,16,11,0,21,7,8
"Prochilodus lineatus",26,39,36,24,31,29,44,35,48,22,5,4,13,18,12,5,2,46,8,15,3,5,14,5,6,10,52,16,14,23,30,23
"Pygocentrus nattereri",32,98,24,24,23,21,28,31,19,48,24,44,32,29,33,26,27,15,66,63,28,42,28,70,81,86,57,60,22,70,25,31
"Anguilla rostrata",3,1,6,4,8,9,1,1,6,11,0,0,3,5,3,2,0,8,4,5,1,3,1,0,0,0,9,5,0,2,3,3
"Notopterus notopterus",10,26,14,6,4,23,16,6,14,34,4,12,16,14,3,6,4,14,15,13,9,0,2,10,19,22,36,9,8,27,5,7
"Perca fluviatilis",7,9,4,20,22,14,6,7,10,17,3,2,3,8,5,8,0,26,3,12,1,1,2,0,3,4,27,4,1,3,14,1
"Polyodon spathula",74,116,78,585,264,104,57,82,52,891,13,39,34,30,16,69,2,345,23,56,15,18,110,2,22,5,98,23,27,32,112,40
"Parachromis managuensis",5,14,2,0,4,9,3,4,4,4,2,4,11,0,3,2,2,6,0,8,3,1,3,1,2,2,2,7,4,13,2,4
"Sarotherodon galilaeus",4,18,3,90,8,0,2,6,2,448,2,5,6,8,3,2,1,93,12,7,4,3,2,7,1,6,6,10,1,6,5,3
